concept_id,preferred_term,synonyms
44054006,type 2 diabetes mellitus,t2dm|type 2 diabetes|diabetes type 2|t2d|non-insulin dependent diabetes|niddm|adult onset diabetes mellitus
46635009,type 1 diabetes mellitus,t1dm|type 1 diabetes|diabetes type 1|t1d|insulin dependent diabetes|iddm|juvenile onset diabetes
73211009,diabetes mellitus,diabetes|diabetic|dm
33747003,blood glucose measurement,blood glucose|blood sugar level|glucose level|fasting glucose|hba1c|glycated hemoglobin|a1c
182021000,glucose monitoring,glucose management|glucose control|sugar control|blood sugar management|glucose monitoring program
38341003,hypertension,high blood pressure|htn|elevated blood pressure|arterial hypertension|systolic hypertension|essential hypertension
22298006,myocardial infarction,heart attack|mi|acute mi|ami|acute myocardial infarction|stemi|nstemi|cardiac infarction
84114007,heart failure,chf|congestive heart failure|cardiac failure|hf|left heart failure|right heart failure|systolic heart failure|diastolic heart failure
49436004,atrial fibrillation,afib|af|a-fib|irregular heartbeat|a fib|auricular fibrillation|paroxysmal afib|persistent afib
56265001,heart disease,cardiac disease|coronary disease|cardiovascular disease|heart disorder|cardiac disorder
230690007,cerebrovascular accident,stroke|brain stroke|cva|ischemic stroke|hemorrhagic stroke|cerebral infarction|brain attack
128053003,deep vein thrombosis,dvt|leg clot|deep venous thrombosis|venous thrombosis leg|lower extremity dvt
415068001,pulmonary embolism,pe|pulmonary thromboembolism|lung clot|blood clot in lung
396275006,thrombosis,blood clot|thrombus|thromboembolism|venous thrombosis|arterial thrombosis
400047006,peripheral arterial disease,pad|peripheral vascular disease|pvd|peripheral artery disease|arterial disease|leg artery disease
53741008,coronary artery disease,cad|coronary heart disease|ischemic heart disease|ihd|coronary atherosclerosis
44054006,type 2 diabetes mellitus,t2dm|type 2 diabetes|diabetes type 2|t2d|non-insulin dependent diabetes
254837009,malignant neoplasm of breast,breast cancer|breast carcinoma|breast tumor|brca|female breast cancer|breast adenocarcinoma|invasive breast cancer|breast malignancy
363358000,malignant neoplasm of lung,lung cancer|lung carcinoma|pulmonary malignancy|lung tumor|pulmonary cancer|lung adenocarcinoma
254637007,non-small cell lung carcinoma,nsclc|non small cell lung cancer|non-small cell carcinoma|nsclca|squamous cell lung carcinoma|large cell lung carcinoma
254632001,small cell lung carcinoma,sclc|small cell cancer|small cell lung cancer|oat cell carcinoma
363406005,malignant neoplasm of colon,colon cancer|colorectal cancer|colorectal carcinoma|crc|colon carcinoma|rectal cancer|bowel cancer|colonic cancer
25370001,hepatocellular carcinoma,liver cancer|hcc|hepatic carcinoma|liver carcinoma|hepatoma|primary liver cancer
363418001,malignant neoplasm of pancreas,pancreatic cancer|pancreatic carcinoma|cancer of pancreas|pancreas cancer
399068003,malignant neoplasm of prostate,prostate cancer|prostate carcinoma|prostatic cancer|cancer of prostate|prostate adenocarcinoma
363443007,malignant neoplasm of ovary,ovarian cancer|ovarian carcinoma|cancer of ovary|ovarian malignancy
363354003,malignant neoplasm of cervix uteri,cervical cancer|cervical carcinoma|cancer of cervix|uterine cervical cancer
126952004,malignant neoplasm of brain,brain cancer|brain carcinoma|malignant brain tumor|brain malignancy|glioblastoma multiforme|gbm|glioma|astrocytoma
108369006,neoplasm,tumor|neoplasm nos|mass|growth|neoplastic lesion
363346000,malignant neoplasm,cancer|malignant tumor|malignant neoplasm nos|carcinoma|malignancy
372064008,malignant neoplasm of bone,bone cancer|bone sarcoma|osteosarcoma|ewing sarcoma|bone malignancy
363518003,malignant neoplasm of kidney,kidney cancer|renal cancer|renal cell carcinoma|rcc|renal carcinoma|kidney carcinoma
399326009,malignant neoplasm of urinary bladder,bladder cancer|bladder carcinoma|urothelial carcinoma|transitional cell carcinoma
363478007,malignant neoplasm of thyroid gland,thyroid cancer|thyroid carcinoma|papillary thyroid cancer|follicular thyroid cancer
363349007,malignant neoplasm of stomach,stomach cancer|gastric cancer|gastric carcinoma|gastric adenocarcinoma|stomach carcinoma
363416006,malignant neoplasm of esophagus,esophageal cancer|esophageal carcinoma|oesophageal cancer|cancer of esophagus
372244006,malignant melanoma,melanoma|skin cancer|cutaneous melanoma|skin melanoma|malignant skin melanoma
87163000,leukemia,blood cancer|leukaemia|leukemic disease
413448000,acute myeloid leukemia,aml|acute myelogenous leukemia|acute myelocytic leukemia
92818009,chronic myeloid leukemia,cml|chronic myelogenous leukemia|chronic granulocytic leukemia
91857003,acute lymphoblastic leukemia,all|acute lymphocytic leukemia|acute lymphoid leukemia
51092000,chronic lymphocytic leukemia,cll|chronic lymphoid leukemia|b-cell cll
118600007,malignant lymphoma,lymphoma|lymphoid malignancy|lymphatic cancer
118601006,non-hodgkin lymphoma,nhl|non hodgkin lymphoma|non-hodgkins lymphoma|nhl lymphoma
118600007,malignant lymphoma,lymphoma|hodgkin lymphoma|hodgkins lymphoma|hl|hodgkin disease
109989006,multiple myeloma,mm|plasma cell myeloma|myeloma|plasmacytoma
26929004,alzheimer disease,alzheimers|alzheimer's|alzheimer disease|alzheimer's disease|ad dementia|senile dementia|alzheimers disease
49049000,parkinson disease,parkinsons|parkinson's|pd|parkinson's disease|parkinsons disease|idiopathic parkinsonism
